Date,Store Location,Product Category,Units Sold,Sales Amount,Promotions/Discounts,Day Type
2023-01-04,Hyderabad,Electronics,24,51672,1,Weekday
2023-01-04,Hyderabad,Clothing,27,28377,1,Weekday
2023-01-04,Hyderabad,Groceries,59,10679,0,Weekday
2023-01-04,Hyderabad,Furniture,15,81000,1,Weekday
2023-01-04,Hyderabad,Cosmetics,23,4485,0,Weekday
2023-01-05,Kolkata,Electronics,25,47400,0,Weekday
2023-01-05,Kolkata,Clothing,35,39550,0,Weekday
2023-01-05,Kolkata,Groceries,65,6240,0,Weekday
2023-01-05,Kolkata,Furniture,11,52657,0,Weekday
2023-01-05,Kolkata,Cosmetics,27,4428,0,Weekday
2023-01-05,Delhi,Electronics,20,49080,0,Weekday
2023-01-05,Delhi,Clothing,31,25916,0,Weekday
2023-01-05,Delhi,Groceries,50,7900,0,Weekday
2023-01-05,Delhi,Furniture,10,39720,0,Weekday
2023-01-05,Delhi,Cosmetics,31,16306,0,Weekday
2023-01-05,Mumbai,Electronics,18,29556,0,Weekday
2023-01-05,Mumbai,Clothing,32,33856,0,Weekday
2023-01-05,Mumbai,Groceries,63,11529,0,Weekday
2023-01-05,Mumbai,Furniture,9,38358,0,Weekday
2023-01-05,Mumbai,Cosmetics,23,8602,0,Weekday
2023-01-05,Bangalore,Electronics,21,19719,0,Weekday
2023-01-05,Bangalore,Clothing,34,33048,0,Weekday
2023-01-05,Bangalore,Groceries,49,8771,0,Weekday
2023-01-05,Bangalore,Furniture,12,42456,1,Weekday
2023-01-05,Bangalore,Cosmetics,20,10500,0,Weekday
2023-01-05,Hyderabad,Electronics,21,27552,1,Weekday
2023-01-05,Hyderabad,Clothing,32,16896,1,Weekday
2023-01-05,Hyderabad,Groceries,71,6461,1,Weekday
2023-01-05,Hyderabad,Furniture,15,78930,1,Weekday
2023-01-05,Hyderabad,Cosmetics,25,6325,0,Weekday
2023-01-06,Kolkata,Electronics,25,24925,0,Weekday
2023-01-06,Kolkata,Clothing,37,19610,0,Weekday
2023-01-06,Kolkata,Groceries,71,9585,0,Weekday
2023-01-06,Kolkata,Furniture,9,42552,0,Weekday
2023-01-06,Kolkata,Cosmetics,25,6975,0,Weekday
2023-01-06,Delhi,Electronics,23,36639,0,Weekday
2023-01-06,Delhi,Clothing,52,44148,1,Weekday
2023-01-06,Delhi,Groceries,71,11360,1,Weekday
2023-01-06,Delhi,Furniture,8,35480,0,Weekday
2023-01-06,Delhi,Cosmetics,32,14240,0,Weekday
2023-01-06,Mumbai,Electronics,27,42606,1,Weekday
2023-01-06,Mumbai,Clothing,55,40150,1,Weekday
2023-01-06,Mumbai,Groceries,74,8288,1,Weekday
2023-01-06,Mumbai,Furniture,9,22086,1,Weekday
2023-01-06,Mumbai,Cosmetics,20,4240,0,Weekday
2023-01-06,Bangalore,Electronics,17,31824,0,Weekday
2023-01-06,Bangalore,Clothing,31,11222,0,Weekday
2023-01-06,Bangalore,Groceries,72,5616,0,Weekday
2023-01-06,Bangalore,Furniture,9,32085,0,Weekday
2023-01-06,Bangalore,Cosmetics,34,6936,0,Weekday
2023-01-06,Hyderabad,Electronics,29,46371,1,Weekday
2023-01-06,Hyderabad,Clothing,47,50102,1,Weekday
2023-01-06,Hyderabad,Groceries,40,2280,0,Weekday
2023-01-06,Hyderabad,Furniture,10,23220,0,Weekday
2023-01-06,Hyderabad,Cosmetics,25,19325,0,Weekday
2023-01-07,Kolkata,Electronics,14,18382,0,Weekend
2023-01-07,Kolkata,Clothing,44,30580,0,Weekend
2023-01-07,Kolkata,Groceries,44,5940,0,Weekend
2023-01-07,Kolkata,Furniture,9,51507,0,Weekend
2023-01-07,Kolkata,Cosmetics,28,4284,0,Weekend
2023-01-07,Delhi,Electronics,23,19044,0,Weekend
2023-01-07,Delhi,Clothing,48,15984,1,Weekend
2023-01-07,Delhi,Groceries,61,4880,0,Weekend
2023-01-07,Delhi,Furniture,9,40221,0,Weekend
2023-01-07,Delhi,Cosmetics,38,19456,1,Weekend
2023-01-07,Mumbai,Electronics,20,16560,0,Weekend
2023-01-07,Mumbai,Clothing,38,42028,1,Weekend
2023-01-07,Mumbai,Groceries,69,5865,1,Weekend
2023-01-07,Mumbai,Furniture,10,59600,0,Weekend
2023-01-07,Mumbai,Cosmetics,19,3990,1,Weekend
2023-01-07,Bangalore,Electronics,21,17661,1,Weekend
2023-01-07,Bangalore,Clothing,33,27159,1,Weekend
2023-01-07,Bangalore,Groceries,78,9594,1,Weekend
2023-01-07,Bangalore,Furniture,11,24299,0,Weekend
2023-01-07,Bangalore,Cosmetics,25,15950,0,Weekend
2023-01-07,Hyderabad,Electronics,25,28350,1,Weekend
2023-01-07,Hyderabad,Clothing,35,31255,0,Weekend
2023-01-07,Hyderabad,Groceries,72,6768,0,Weekend
2023-01-07,Hyderabad,Furniture,11,60049,0,Weekend
2023-01-07,Hyderabad,Cosmetics,29,13340,0,Weekend
2023-01-08,Kolkata,Electronics,22,29590,0,Weekend
2023-01-08,Kolkata,Clothing,47,28999,1,Weekend
2023-01-08,Kolkata,Groceries,53,7049,0,Weekend
2023-01-08,Kolkata,Furniture,9,52992,0,Weekend
2023-01-08,Kolkata,Cosmetics,21,6069,0,Weekend
2023-01-08,Delhi,Electronics,20,44060,1,Weekend
2023-01-08,Delhi,Clothing,45,16245,1,Weekend
2023-01-08,Delhi,Groceries,54,2808,0,Weekend
2023-01-08,Delhi,Furniture,9,42030,0,Weekend
2023-01-08,Delhi,Cosmetics,27,8343,1,Weekend
2023-01-08,Mumbai,Electronics,16,25280,0,Weekend
2023-01-08,Mumbai,Clothing,30,18660,0,Weekend
2023-01-08,Mumbai,Groceries,70,8750,1,Weekend
2023-01-08,Mumbai,Furniture,10,54720,0,Weekend
2023-01-08,Mumbai,Cosmetics,25,18550,0,Weekend
2023-01-08,Bangalore,Electronics,20,18280,0,Weekend
2023-01-08,Bangalore,Clothing,46,25806,1,Weekend
2023-01-08,Bangalore,Groceries,57,5358,0,Weekend
2023-01-08,Bangalore,Furniture,9,18504,0,Weekend
2023-01-08,Bangalore,Cosmetics,27,10989,1,Weekend
2023-01-08,Hyderabad,Electronics,20,46940,1,Weekend
2023-01-08,Hyderabad,Clothing,33,38115,0,Weekend
2023-01-08,Hyderabad,Groceries,52,5824,0,Weekend
2023-01-08,Hyderabad,Furniture,11,27940,0,Weekend
2023-01-08,Hyderabad,Cosmetics,27,9693,0,Weekend
2023-01-09,Kolkata,Electronics,21,24780,1,Weekday
2023-01-09,Kolkata,Clothing,36,27288,0,Weekday
2023-01-09,Kolkata,Groceries,48,5952,0,Weekday
2023-01-09,Kolkata,Furniture,11,58058,1,Weekday
2023-01-09,Kolkata,Cosmetics,27,16254,0,Weekday
2023-01-09,Delhi,Electronics,22,45760,1,Weekday
2023-01-09,Delhi,Clothing,36,29628,0,Weekday
2023-01-09,Delhi,Groceries,66,9372,1,Weekday
2023-01-09,Delhi,Furniture,12,64788,1,Weekday
2023-01-09,Delhi,Cosmetics,27,10395,0,Weekday
2023-01-09,Mumbai,Electronics,15,26325,0,Weekday
2023-01-09,Mumbai,Clothing,36,36576,0,Weekday
2023-01-09,Mumbai,Groceries,62,3720,0,Weekday
2023-01-09,Mumbai,Furniture,11,33836,1,Weekday
2023-01-09,Mumbai,Cosmetics,23,8993,0,Weekday
2023-01-09,Bangalore,Electronics,20,16020,0,Weekday
2023-01-09,Bangalore,Clothing,29,11281,0,Weekday
2023-01-09,Bangalore,Groceries,57,6270,0,Weekday
2023-01-09,Bangalore,Furniture,11,59521,1,Weekday
2023-01-09,Bangalore,Cosmetics,25,15200,1,Weekday
2023-01-09,Hyderabad,Electronics,27,32643,1,Weekday
2023-01-09,Hyderabad,Clothing,36,30096,0,Weekday
2023-01-09,Hyderabad,Groceries,75,6075,0,Weekday
2023-01-09,Hyderabad,Furniture,9,16299,0,Weekday
2023-01-09,Hyderabad,Cosmetics,27,12987,0,Weekday
2023-01-10,Kolkata,Electronics,16,15328,0,Weekday
2023-01-10,Kolkata,Clothing,58,52606,1,Weekday
2023-01-10,Kolkata,Groceries,63,3465,0,Weekday
2023-01-10,Kolkata,Furniture,8,35664,0,Weekday
2023-01-10,Kolkata,Cosmetics,19,12825,0,Weekday
2023-01-10,Delhi,Electronics,24,43296,1,Weekday
2023-01-10,Delhi,Clothing,33,17490,0,Weekday
2023-01-10,Delhi,Groceries,48,4512,0,Weekday
2023-01-10,Delhi,Furniture,11,38423,0,Weekday
2023-01-10,Delhi,Cosmetics,24,17400,0,Weekday
2023-01-10,Mumbai,Electronics,23,48461,0,Weekday
2023-01-10,Mumbai,Clothing,37,24642,0,Weekday
2023-01-10,Mumbai,Groceries,63,5418,0,Weekday
2023-01-10,Mumbai,Furniture,9,15975,0,Weekday
2023-01-10,Mumbai,Cosmetics,24,8016,1,Weekday
2023-01-10,Bangalore,Electronics,20,34360,0,Weekday
2023-01-10,Bangalore,Clothing,26,16510,0,Weekday
2023-01-10,Bangalore,Groceries,71,3834,1,Weekday
2023-01-10,Bangalore,Furniture,9,35766,0,Weekday
2023-01-10,Bangalore,Cosmetics,28,13832,0,Weekday
2023-01-10,Hyderabad,Electronics,20,32000,0,Weekday
2023-01-10,Hyderabad,Clothing,36,36108,0,Weekday
2023-01-10,Hyderabad,Groceries,61,7686,1,Weekday
2023-01-10,Hyderabad,Furniture,11,55583,0,Weekday
2023-01-10,Hyderabad,Cosmetics,31,15283,1,Weekday
2023-01-11,Kolkata,Electronics,15,28320,0,Weekday
2023-01-11,Kolkata,Clothing,41,42435,0,Weekday
2023-01-11,Kolkata,Groceries,60,7260,0,Weekday
2023-01-11,Kolkata,Furniture,12,70788,0,Weekday
2023-01-11,Kolkata,Cosmetics,15,7695,0,Weekday
2023-01-11,Delhi,Electronics,21,37884,1,Weekday
2023-01-11,Delhi,Clothing,33,11550,0,Weekday
2023-01-11,Delhi,Groceries,63,10458,0,Weekday
2023-01-11,Delhi,Furniture,10,55970,0,Weekday
2023-01-11,Delhi,Cosmetics,30,22050,0,Weekday
2023-01-11,Mumbai,Electronics,20,41280,1,Weekday
2023-01-11,Mumbai,Clothing,30,14130,0,Weekday
2023-01-11,Mumbai,Groceries,82,5248,0,Weekday
2023-01-11,Mumbai,Furniture,10,47250,0,Weekday
2023-01-11,Mumbai,Cosmetics,27,15876,0,Weekday
2023-01-11,Bangalore,Electronics,21,31206,0,Weekday
2023-01-11,Bangalore,Clothing,32,24128,0,Weekday
2023-01-11,Bangalore,Groceries,51,2601,0,Weekday
2023-01-11,Bangalore,Furniture,7,26943,0,Weekday
2023-01-11,Bangalore,Cosmetics,17,13090,0,Weekday
2023-01-11,Hyderabad,Electronics,18,34074,0,Weekday
2023-01-11,Hyderabad,Clothing,29,12992,0,Weekday
2023-01-11,Hyderabad,Groceries,57,10203,0,Weekday
2023-01-11,Hyderabad,Furniture,7,20958,0,Weekday
2023-01-11,Hyderabad,Cosmetics,27,12420,0,Weekday
2023-01-12,Kolkata,Electronics,20,24900,0,Weekday
2023-01-12,Kolkata,Clothing,40,33640,0,Weekday
2023-01-12,Kolkata,Groceries,65,10205,0,Weekday
2023-01-12,Kolkata,Furniture,9,22608,0,Weekday
2023-01-12,Kolkata,Cosmetics,27,13770,1,Weekday
2023-01-12,Delhi,Electronics,20,32680,0,Weekday
2023-01-12,Delhi,Clothing,44,28204,1,Weekday
2023-01-12,Delhi,Groceries,67,12261,0,Weekday
2023-01-12,Delhi,Furniture,6,34350,0,Weekday
2023-01-12,Delhi,Cosmetics,31,7564,1,Weekday
2023-01-12,Mumbai,Electronics,20,38660,0,Weekday
2023-01-12,Mumbai,Clothing,30,25080,0,Weekday
2023-01-12,Mumbai,Groceries,63,4347,0,Weekday
2023-01-12,Mumbai,Furniture,10,34530,0,Weekday
2023-01-12,Mumbai,Cosmetics,20,4640,0,Weekday
2023-01-12,Bangalore,Electronics,17,20383,0,Weekday
2023-01-12,Bangalore,Clothing,36,24444,1,Weekday
2023-01-12,Bangalore,Groceries,50,5550,0,Weekday
2023-01-12,Bangalore,Furniture,9,46944,0,Weekday
2023-01-12,Bangalore,Cosmetics,24,5136,0,Weekday
2023-01-12,Hyderabad,Electronics,16,16656,0,Weekday
2023-01-12,Hyderabad,Clothing,39,41613,0,Weekday
2023-01-12,Hyderabad,Groceries,48,4368,0,Weekday
2023-01-12,Hyderabad,Furniture,10,51310,1,Weekday
2023-01-12,Hyderabad,Cosmetics,28,9772,0,Weekday
2023-01-13,Kolkata,Electronics,19,37924,0,Weekday
2023-01-13,Kolkata,Clothing,40,15440,0,Weekday
2023-01-13,Kolkata,Groceries,43,8084,1,Weekday
2023-01-13,Kolkata,Furniture,10,22720,0,Weekday
2023-01-13,Kolkata,Cosmetics,28,22316,1,Weekday
2023-01-13,Delhi,Electronics,20,34400,1,Weekday
2023-01-13,Delhi,Clothing,40,39000,0,Weekday
2023-01-13,Delhi,Groceries,59,11387,0,Weekday
2023-01-13,Delhi,Furniture,9,46773,0,Weekday
2023-01-13,Delhi,Cosmetics,25,6775,1,Weekday
2023-01-13,Mumbai,Electronics,22,48840,1,Weekday
2023-01-13,Mumbai,Clothing,36,19260,0,Weekday
2023-01-13,Mumbai,Groceries,75,5700,0,Weekday
2023-01-13,Mumbai,Furniture,10,52540,0,Weekday
2023-01-13,Mumbai,Cosmetics,17,4709,0,Weekday
2023-01-13,Bangalore,Electronics,20,18700,0,Weekday
2023-01-13,Bangalore,Clothing,38,44270,1,Weekday
2023-01-13,Bangalore,Groceries,52,8372,0,Weekday
2023-01-13,Bangalore,Furniture,12,49608,1,Weekday
2023-01-13,Bangalore,Cosmetics,30,8430,1,Weekday
2023-01-13,Hyderabad,Electronics,20,45840,0,Weekday
2023-01-13,Hyderabad,Clothing,39,13884,0,Weekday
2023-01-13,Hyderabad,Groceries,87,9048,1,Weekday
2023-01-13,Hyderabad,Furniture,10,44620,0,Weekday
2023-01-13,Hyderabad,Cosmetics,24,4032,0,Weekday
2023-01-14,Kolkata,Electronics,18,27702,0,Weekend
2023-01-14,Kolkata,Clothing,37,22274,0,Weekend
2023-01-14,Kolkata,Groceries,54,2862,1,Weekend
2023-01-14,Kolkata,Furniture,11,54681,0,Weekend
2023-01-14,Kolkata,Cosmetics,23,9269,0,Weekend
2023-01-14,Delhi,Electronics,21,28602,0,Weekend
2023-01-14,Delhi,Clothing,36,23328,0,Weekend
2023-01-14,Delhi,Groceries,61,10675,0,Weekend
2023-01-14,Delhi,Furniture,12,26220,1,Weekend
2023-01-14,Delhi,Cosmetics,27,13257,0,Weekend
2023-01-14,Mumbai,Electronics,23,22126,0,Weekend
2023-01-14,Mumbai,Clothing,49,55860,1,Weekend
2023-01-14,Mumbai,Groceries,57,3990,0,Weekend
2023-01-14,Mumbai,Furniture,11,26873,0,Weekend
2023-01-14,Mumbai,Cosmetics,21,9723,0,Weekend
2023-01-14,Bangalore,Electronics,24,42792,1,Weekend
2023-01-14,Bangalore,Clothing,36,26064,1,Weekend
2023-01-14,Bangalore,Groceries,64,7040,0,Weekend
2023-01-14,Bangalore,Furniture,14,72072,1,Weekend
2023-01-14,Bangalore,Cosmetics,30,7050,1,Weekend
2023-01-14,Hyderabad,Electronics,22,46574,0,Weekend
2023-01-14,Hyderabad,Clothing,36,16308,1,Weekend
2023-01-14,Hyderabad,Groceries,52,6656,0,Weekend
2023-01-14,Hyderabad,Furniture,10,36130,1,Weekend
2023-01-14,Hyderabad,Cosmetics,19,7144,0,Weekend
2023-01-15,Kolkata,Electronics,23,46023,0,Weekend
2023-01-15,Kolkata,Clothing,37,29859,0,Weekend
2023-01-15,Kolkata,Groceries,64,5824,1,Weekend
2023-01-15,Kolkata,Furniture,11,19338,0,Weekend
2023-01-15,Kolkata,Cosmetics,22,8998,0,Weekend
2023-01-15,Delhi,Electronics,21,24465,1,Weekend
2023-01-15,Delhi,Clothing,43,17544,1,Weekend
2023-01-15,Delhi,Groceries,60,6480,0,Weekend
2023-01-15,Delhi,Furniture,11,50259,0,Weekend
2023-01-15,Delhi,Cosmetics,39,24765,1,Weekend
2023-01-15,Mumbai,Electronics,16,35488,0,Weekend
2023-01-15,Mumbai,Clothing,40,17200,0,Weekend
2023-01-15,Mumbai,Groceries,62,5146,0,Weekend
2023-01-15,Mumbai,Furniture,9,42723,0,Weekend
2023-01-15,Mumbai,Cosmetics,30,18960,1,Weekend
2023-01-15,Bangalore,Electronics,22,21010,1,Weekend
2023-01-15,Bangalore,Clothing,45,33345,1,Weekend
2023-01-15,Bangalore,Groceries,47,9118,0,Weekend
2023-01-15,Bangalore,Furniture,10,28770,0,Weekend
2023-01-15,Bangalore,Cosmetics,27,18657,0,Weekend
2023-01-15,Hyderabad,Electronics,21,25683,1,Weekend
2023-01-15,Hyderabad,Clothing,34,31314,0,Weekend
2023-01-15,Hyderabad,Groceries,59,4012,1,Weekend
2023-01-15,Hyderabad,Furniture,11,19404,0,Weekend
2023-01-15,Hyderabad,Cosmetics,28,5320,0,Weekend
2023-01-16,Kolkata,Electronics,18,15606,0,Weekday
2023-01-16,Kolkata,Clothing,34,24854,0,Weekday
2023-01-16,Kolkata,Groceries,67,13266,1,Weekday
2023-01-16,Kolkata,Furniture,9,23022,1,Weekday
2023-01-16,Kolkata,Cosmetics,29,16820,1,Weekday
2023-01-16,Delhi,Electronics,19,25194,0,Weekday
2023-01-16,Delhi,Clothing,39,43602,0,Weekday
2023-01-16,Delhi,Groceries,51,5916,0,Weekday
2023-01-16,Delhi,Furniture,11,36212,1,Weekday
2023-01-16,Delhi,Cosmetics,24,10368,0,Weekday
2023-01-16,Mumbai,Electronics,19,41857,0,Weekday
2023-01-16,Mumbai,Clothing,28,28000,0,Weekday
2023-01-16,Mumbai,Groceries,41,5986,1,Weekday
2023-01-16,Mumbai,Furniture,9,39294,0,Weekday
2023-01-16,Mumbai,Cosmetics,28,13496,0,Weekday
2023-01-16,Bangalore,Electronics,21,17178,1,Weekday
2023-01-16,Bangalore,Clothing,29,17400,0,Weekday
2023-01-16,Bangalore,Groceries,67,7839,0,Weekday
2023-01-16,Bangalore,Furniture,10,53080,0,Weekday
2023-01-16,Bangalore,Cosmetics,26,15574,0,Weekday
2023-01-16,Hyderabad,Electronics,22,45958,1,Weekday
2023-01-16,Hyderabad,Clothing,37,30081,0,Weekday
2023-01-16,Hyderabad,Groceries,50,5700,0,Weekday
2023-01-16,Hyderabad,Furniture,7,23233,0,Weekday
2023-01-16,Hyderabad,Cosmetics,27,14148,0,Weekday
2023-01-17,Kolkata,Electronics,20,43740,0,Weekday
2023-01-17,Kolkata,Clothing,46,15640,1,Weekday
2023-01-17,Kolkata,Groceries,68,3808,1,Weekday
2023-01-17,Kolkata,Furniture,10,47730,1,Weekday
2023-01-17,Kolkata,Cosmetics,26,20202,0,Weekday
2023-01-17,Delhi,Electronics,23,53107,0,Weekday
2023-01-17,Delhi,Clothing,35,29960,0,Weekday
2023-01-17,Delhi,Groceries,55,5500,0,Weekday
2023-01-17,Delhi,Furniture,8,12984,1,Weekday
2023-01-17,Delhi,Cosmetics,27,6102,1,Weekday
2023-01-17,Mumbai,Electronics,19,27987,0,Weekday
2023-01-17,Mumbai,Clothing,42,36204,1,Weekday
2023-01-17,Mumbai,Groceries,60,8460,0,Weekday
2023-01-17,Mumbai,Furniture,10,46700,0,Weekday
2023-01-17,Mumbai,Cosmetics,24,15984,0,Weekday
2023-01-17,Bangalore,Electronics,24,23112,0,Weekday
2023-01-17,Bangalore,Clothing,26,11414,0,Weekday
2023-01-17,Bangalore,Groceries,70,4830,0,Weekday
2023-01-17,Bangalore,Furniture,8,24880,0,Weekday
2023-01-17,Bangalore,Cosmetics,25,12850,0,Weekday
2023-01-17,Hyderabad,Electronics,16,38368,0,Weekday
2023-01-17,Hyderabad,Clothing,35,35665,1,Weekday
2023-01-17,Hyderabad,Groceries,68,4760,0,Weekday
2023-01-17,Hyderabad,Furniture,13,73476,1,Weekday
2023-01-17,Hyderabad,Cosmetics,28,22316,1,Weekday
2023-01-18,Kolkata,Electronics,21,40971,1,Weekday
2023-01-18,Kolkata,Clothing,34,23222,0,Weekday
2023-01-18,Kolkata,Groceries,52,9932,0,Weekday
2023-01-18,Kolkata,Furniture,8,23976,0,Weekday
2023-01-18,Kolkata,Cosmetics,26,9464,0,Weekday
2023-01-18,Delhi,Electronics,25,38300,1,Weekday
2023-01-18,Delhi,Clothing,33,24288,0,Weekday
2023-01-18,Delhi,Groceries,52,3744,0,Weekday
2023-01-18,Delhi,Furniture,10,25110,0,Weekday
2023-01-18,Delhi,Cosmetics,33,25740,1,Weekday
2023-01-18,Mumbai,Electronics,28,59164,0,Weekday
2023-01-18,Mumbai,Clothing,39,43563,0,Weekday
2023-01-18,Mumbai,Groceries,71,13348,1,Weekday
2023-01-18,Mumbai,Furniture,9,20862,0,Weekday
2023-01-18,Mumbai,Cosmetics,28,15400,0,Weekday
2023-01-18,Bangalore,Electronics,12,17172,0,Weekday
2023-01-18,Bangalore,Clothing,34,28390,0,Weekday
2023-01-18,Bangalore,Groceries,54,10206,0,Weekday
2023-01-18,Bangalore,Furniture,9,25902,0,Weekday
2023-01-18,Bangalore,Cosmetics,29,15834,0,Weekday
2023-01-18,Hyderabad,Electronics,21,35637,0,Weekday
2023-01-18,Hyderabad,Clothing,33,38082,0,Weekday
2023-01-18,Hyderabad,Groceries,63,7497,0,Weekday
2023-01-18,Hyderabad,Furniture,13,46748,0,Weekday
2023-01-18,Hyderabad,Cosmetics,24,17640,1,Weekday
2023-01-19,Kolkata,Electronics,15,25005,0,Weekday
2023-01-19,Kolkata,Clothing,29,31291,0,Weekday
2023-01-19,Kolkata,Groceries,89,5785,1,Weekday
2023-01-19,Kolkata,Furniture,10,49620,0,Weekday
2023-01-19,Kolkata,Cosmetics,21,14784,0,Weekday
2023-01-19,Delhi,Electronics,22,38984,0,Weekday
2023-01-19,Delhi,Clothing,36,27180,0,Weekday
